kegg_number	RH_1_DKDN250001555-1A_22KVLLLT4_L6_kegg_hits.tsv	RH_2_DKDN250001556-1A_22VYGNLT3_L3_kegg_hits.tsv	RH_2_DKDN250001556-1A_22W2JCLT3_L1_kegg_hits.tsv	RH_3_DKDN250001557-1A_22KVLLLT4_L6_kegg_hits.tsv	RH_5_DKDN250001558-1A_22KVLLLT4_L6_kegg_hits.tsv	RH_8_DKDN250001559-1A_22KVLLLT4_L6_kegg_hits.tsv	carK_1_DKDN250001546-1A_22KVLLLT4_L6_kegg_hits.tsv	carK_2_DKDN250001547-1A_22Y2CMLT3_L2_kegg_hits.tsv	carK_4_DKDN250001548-1A_22KVLLLT4_L6_kegg_hits.tsv	carK_8_DKDN250001549-1A_22Y2CMLT3_L2_kegg_hits.tsv	carK_9_DKDN250001550-1A_22KVLLLT4_L8_kegg_hits.tsv	carR_10_DKDN250001554-1A_22VYGNLT3_L3_kegg_hits.tsv	carR_10_DKDN250001554-1A_22W2JCLT3_L1_kegg_hits.tsv	carR_1_DKDN250001551-1A_22VYGNLT3_L3_kegg_hits.tsv	carR_1_DKDN250001551-1A_22W2JCLT3_L1_kegg_hits.tsv	carR_5_DKDN250001552-1A_22KVLLLT4_L6_kegg_hits.tsv	carR_9_DKDN250001553-1A_22KVLLLT4_L6_kegg_hits.tsv	ces_1_DKDN250001560-1A_22VYGNLT3_L3_kegg_hits.tsv	ces_3_DKDN250001561-1A_22KVLLLT4_L6_kegg_hits.tsv	ces_5_DKDN250001562-1A_22KVLLLT4_L6_kegg_hits.tsv	ces_6_DKDN250001563-1A_22KVLLLT4_L6_kegg_hits.tsv	ces_7_DKDN250001564-1A_22KVLLLT4_L8_kegg_hits.tsv	hok_1_DKDN250001570-1A_22VYGNLT3_L3_kegg_hits.tsv	hok_1_DKDN250001570-1A_22W2JCLT3_L5_kegg_hits.tsv	hok_2_DKDN250001571-1A_22KVLLLT4_L8_kegg_hits.tsv	hok_3_DKDN250001572-1A_22VYGNLT3_L3_kegg_hits.tsv	hok_3_DKDN250001572-1A_22W2JCLT3_L1_kegg_hits.tsv	hok_5_DKDN250001573-1A_22KVLLLT4_L8_kegg_hits.tsv	hok_7_DKDN250001574-1A_22KVLLLT4_L8_kegg_hits.tsv	mtz_1_DKDN250001565-1A_22KVLLLT4_L8_kegg_hits.tsv	mtz_3_DKDN250001566-1A_22VYGNLT3_L3_kegg_hits.tsv	mtz_4_DKDN250001567-1A_22KVLLLT4_L8_kegg_hits.tsv	mtz_6_DKDN250001568-1A_22KVLLLT4_L8_kegg_hits.tsv	mtz_7_DKDN250001569-1A_22KVLLLT4_L8_kegg_hits.tsv
K00001	0.297498	0.253069	0.245346	0.274346	0.336064	0.287415	0.487364	0.855187	1.363358	0.556406	0.840411	1.261580	1.275614	1.231786	1.196253	0.569103	0.777044	0.313843	0.271941	0.290660	0.341032	0.280914	0.551837	0.616469	0.651774	0.242378	0.249572	0.432543	0.565295	0.249738	0.464791	0.320431	0.406132	0.348920
K00002	0.000779	0.000000	0.001194	0.000442	0.003352	0.001260	0.001793	0.005624	0.003456	0.003253	0.003554	0.001819	0.000594	0.001386	0.004726	0.002920	0.003695	0.000315	0.000166	0.000483	0.003718	0.001055	0.003907	0.001151	0.000710	0.000000	0.000000	0.000312	0.000149	0.014887	0.000728	0.010342	0.004729	0.004151
K00003	0.978534	0.980871	0.996086	0.991341	0.980728	1.012483	0.916399	0.963359	0.938292	0.968956	0.979173	0.913995	0.952267	0.935579	0.950002	0.926341	0.941891	0.942305	0.913973	0.923321	0.930600	0.922613	0.964805	0.983263	1.052281	0.998331	1.007246	0.982401	0.966967	0.920404	0.985070	0.946346	0.947189	1.221783
K00004	0.005611	0.004266	0.003500	0.007361	0.005050	0.003529	0.015616	0.007285	0.019541	0.007308	0.015221	0.007128	0.004321	0.001320	0.001649	0.009414	0.008448	0.005448	0.004516	0.006893	0.020233	0.010071	0.013994	0.015521	0.006024	0.001031	0.001877	0.008149	0.004651	0.060070	0.003557	0.055882	0.025704	0.014044
K00005	0.001562	0.001149	0.000807	0.001333	0.001786	0.000364	0.002574	0.000000	0.005550	0.001053	0.004490	0.001521	0.002343	0.001186	0.001223	0.003147	0.006299	0.001369	0.000591	0.002397	0.001329	0.002089	0.002472	0.003203	0.002931	0.001078	0.001945	0.000929	0.002091	0.019571	0.001557	0.007502	0.004803	0.004535
K00007	0.000647	0.000000	0.000000	0.001540	0.000869	0.000075	0.002223	0.002334	0.001458	0.002881	0.003578	0.003325	0.006024	0.001315	0.002048	0.001599	0.005056	0.000362	0.000728	0.000892	0.002941	0.001401	0.001560	0.001343	0.001313	0.000657	0.000346	0.001014	0.002141	0.014205	0.000974	0.030143	0.005353	0.002763
K00008	0.504072	0.098686	0.082672	0.289061	0.026956	0.353893	0.932195	1.080810	1.010437	1.092419	0.990233	0.942194	0.932098	1.027188	1.019520	1.006395	0.967786	0.407067	0.181432	0.307822	0.645161	0.195771	0.018646	0.026456	0.006378	1.591444	1.639847	0.084985	0.007063	0.850292	0.797085	1.286622	1.326241	0.969168
K00010	0.007171	0.007951	0.004311	0.008802	0.010227	0.003180	0.047184	0.017077	0.041804	0.029465	0.037926	0.022379	0.022791	0.003922	0.008011	0.033989	0.032118	0.004810	0.011330	0.017957	0.024395	0.011575	0.038563	0.035981	0.018406	0.005272	0.006854	0.022528	0.016143	0.189220	0.029181	0.193776	0.061569	0.034912
K00012	2.618009	1.877984	1.882326	2.278512	1.743213	1.915103	3.921221	2.901355	2.940005	3.612662	3.384563	3.831875	3.791472	3.832231	3.703088	3.730003	3.491263	3.677822	3.173999	3.273217	3.929811	3.088306	2.708307	2.654794	2.381872	3.898062	3.885612	2.657186	2.812794	3.602726	3.586759	4.219234	4.223893	4.018293
K00013	0.882863	0.908354	0.935226	0.881177	0.886555	0.837019	0.917055	0.857569	0.856951	0.927498	0.910109	0.962813	0.985025	0.966284	0.971681	0.910256	0.882387	0.892711	0.911794	0.867107	0.876581	0.878164	0.962547	0.948390	0.877103	0.895845	0.955075	0.873604	0.905879	0.877027	0.827287	0.920806	0.865267	0.829524
K00014	0.935860	1.016953	1.028414	0.988400	1.019949	0.941788	0.967654	0.892512	0.900497	1.011550	1.016718	0.918455	0.965799	0.948061	0.916195	1.000080	0.933178	0.900581	0.854736	0.854865	0.822921	0.857174	0.956272	0.949994	0.979474	0.922945	0.981455	0.931903	0.916621	0.854848	0.916362	0.954813	0.913703	0.951830
K00015	0.885844	0.912787	0.899487	0.863658	0.922449	0.915368	0.867710	0.869388	0.849332	0.842880	0.845213	0.917964	0.999235	0.899251	0.898377	0.871947	0.860030	0.886320	0.871612	0.825396	0.876668	0.913496	0.917216	0.946785	0.923110	0.910596	0.915932	0.895742	0.890615	0.777750	0.809770	0.773368	0.797567	0.680166
K00016	0.003452	0.002247	0.002439	0.002447	0.000308	0.000845	0.035740	0.485958	0.957313	0.020483	0.281909	0.007594	0.007819	0.001618	0.001408	0.008998	0.005880	0.000810	0.000675	0.003877	0.013211	0.003207	0.010944	0.008869	0.002738	0.002259	0.000534	0.036291	0.001903	0.044174	0.001604	0.034468	0.351126	0.023373
K00018	0.006495	0.004617	0.003596	0.004562	0.001305	0.000632	0.037842	0.011889	0.019089	0.009327	0.012358	0.025764	0.027444	0.002374	0.003894	0.017373	0.029282	0.033794	0.016304	0.040174	0.093746	0.028417	0.205805	0.230217	0.005457	0.001129	0.001039	0.011706	0.001934	0.125772	0.011341	0.030281	0.048120	0.023079
K00019	2.820463	2.451713	2.454858	2.710145	2.662761	2.406350	4.086474	4.992866	4.158828	2.824015	4.415902	4.381556	4.302928	4.090478	4.116638	4.275305	4.036390	3.242018	3.196940	3.283408	3.067529	3.242216	2.397109	2.261027	3.039109	1.202453	1.122991	2.123604	2.323378	3.259172	3.449685	3.407991	3.477720	2.966746
K00020	3.869606	4.029147	4.011876	3.796746	3.868168	3.912033	3.584164	3.822904	3.728804	3.674469	3.801827	3.903315	3.913087	3.881190	3.790456	3.884405	3.653392	3.300392	3.246888	3.331914	3.363778	3.376454	4.232927	4.227804	4.736331	3.901607	3.841315	4.113987	4.056870	2.880416	3.602936	3.457461	3.455303	3.420160
K00021	0.001174	0.000669	0.000398	0.000344	0.001025	0.000154	0.007305	0.003642	0.003680	0.004425	0.002192	0.002072	0.000506	0.001937	0.000000	0.000944	0.004384	0.000892	0.000699	0.001361	0.005308	0.000598	0.002974	0.001740	0.000283	0.000177	0.000000	0.000840	0.001657	0.008734	0.001632	0.014314	0.006872	0.001077
K00023	0.990199	1.160655	1.147326	1.048294	1.026572	0.993329	1.366838	0.913761	1.003141	1.034358	1.025726	0.979131	1.035405	1.048631	1.048589	1.023934	1.028054	1.214061	1.047886	1.196191	1.456374	1.222467	1.102266	1.107019	1.184233	1.009210	0.967399	1.114852	1.109783	1.251716	1.449047	1.384804	1.007950	1.301726
K00024	0.934573	0.961340	0.951295	0.939997	0.874507	0.925489	0.982403	0.938496	0.829218	0.925356	0.947911	0.929311	0.972905	0.927547	0.904531	1.026770	1.005670	0.944880	0.936122	0.940068	0.934835	0.928883	0.934085	0.878580	0.856997	0.993578	0.993442	0.948963	0.919028	0.893878	0.905607	0.923780	0.935311	0.896963
K00027	0.004621	0.005962	0.005634	0.006781	0.001218	0.004081	0.017788	0.007904	0.007000	0.005220	0.008788	0.003414	0.001982	0.001009	0.000000	0.002215	0.008125	0.000665	0.002354	0.007032	0.005255	0.004150	0.004136	0.005280	0.000049	0.000752	0.000727	0.007478	0.004541	0.028948	0.007020	0.061567	0.010344	0.012269
K00029	2.287991	2.482927	2.486046	2.295878	2.091494	2.403987	2.698097	2.034850	1.963077	2.086895	2.558130	1.891084	1.906164	1.889175	1.895588	1.956071	1.930825	2.267792	2.073489	2.242956	2.434306	2.140562	2.113161	2.062967	2.063759	1.927046	1.951631	2.129174	2.076849	2.179578	2.652619	2.467701	2.027849	2.568890
K00030	0.001814	0.000761	0.001380	0.000000	0.000658	0.000658	0.013461	0.007693	0.007105	0.008155	0.006898	0.011717	0.005955	0.002199	0.001753	0.004839	0.010465	0.002251	0.001385	0.002218	0.006647	0.003670	0.007334	0.005459	0.002545	0.000330	0.001643	0.002917	0.004463	0.028960	0.006228	0.045413	0.013736	0.011286
K00031	1.006028	1.010624	0.965363	1.009191	1.059854	0.976739	0.953227	0.913903	0.918119	0.913021	0.946033	0.868730	0.876886	0.887736	0.856438	1.011696	0.937640	0.911739	0.957590	0.972835	0.973371	0.963980	1.049612	1.006944	1.043993	1.016795	0.964741	1.018728	0.981815	0.990411	0.993706	0.946905	0.996836	0.821289
K00032	0.000689	0.018972	0.017843	0.000405	0.000000	0.004091	0.001549	0.001242	0.000916	0.001686	0.001262	0.000000	0.000394	0.000000	0.000000	0.000352	0.000180	0.000000	0.000000	0.000000	0.001034	0.000257	0.000226	0.000000	0.000738	0.000000	0.000000	0.000000	0.000147	0.001283	0.001326	0.003571	0.000306	0.002705
K00033	0.880062	0.833968	0.850140	0.867357	0.739167	0.913632	0.993106	1.013903	1.016622	1.020657	1.030729	0.912567	0.994651	0.983917	0.980292	0.958910	0.905328	0.993169	0.929789	0.938367	0.940077	0.921739	0.956791	0.927252	0.887199	1.002689	0.913684	0.892984	0.930807	0.927322	0.999538	0.969139	0.987156	1.041812
K00034	0.941204	1.805961	1.755901	1.389323	1.915391	1.256544	0.046886	0.010583	0.017384	0.007169	0.008068	0.011365	0.011383	0.002321	0.003567	0.006541	0.026185	0.003426	0.005497	0.006816	0.014219	0.007418	1.906659	1.886072	1.946181	0.310159	0.261523	1.867602	1.993711	0.061997	0.616945	0.354244	0.424560	0.014903
K00035	0.924547	0.980449	1.002913	1.004154	1.062600	0.988303	0.842225	0.879006	0.996984	0.941455	0.951038	0.956028	1.034504	0.961574	0.983413	0.827968	0.839529	0.932424	0.954855	0.931974	0.911390	0.942302	1.045510	1.046004	1.062004	0.934344	0.964487	0.992375	1.038062	0.776412	0.864681	0.859730	0.830235	1.055361
K00036	1.079512	1.093752	1.086792	1.186775	1.066531	1.086626	1.144917	1.168320	1.179936	1.254112	1.203482	1.253802	1.280127	1.231579	1.282151	1.141855	1.161441	1.147316	1.112968	1.138803	1.099311	1.123258	1.178376	1.177980	1.209173	1.097765	1.103976	1.129856	1.114447	1.101927	1.243410	1.140934	1.168162	1.366497
K00038	0.421888	0.070268	0.064854	0.268775	0.019508	0.321107	0.799166	0.782730	0.753715	0.627947	0.649977	0.730789	0.684930	0.681869	0.720141	0.825186	0.832772	0.779294	0.816737	0.782727	0.711248	0.754586	0.049502	0.061132	0.090287	0.686367	0.660955	0.068351	0.031430	0.639316	0.553835	0.776408	0.906646	0.728373
K00039	0.202609	0.342742	0.322749	0.294607	0.042488	0.000782	0.023654	0.004189	0.006311	0.007492	0.005361	0.006278	0.002447	0.001476	0.001271	0.004881	0.009711	0.001079	0.001114	0.002470	0.008091	0.001749	0.009554	0.014675	0.008880	0.000577	0.003958	0.015421	0.002070	0.036940	0.005022	0.010283	0.009619	0.015423
K00040	0.988459	1.049716	1.031989	1.051935	1.022216	1.029848	0.951441	1.044145	1.047375	1.106548	1.077889	0.959810	0.982831	1.004953	0.998734	1.014842	1.002669	1.086759	1.046935	1.073788	1.057869	1.023764	1.041502	1.007767	1.045543	1.019604	1.020430	0.969967	0.971913	0.839471	1.037817	0.943199	0.958128	1.041156
K00041	0.004141	0.002573	0.003781	0.005053	0.003620	0.002639	0.003272	0.003824	0.013905	0.006372	0.009804	0.007201	0.006914	0.002772	0.000789	0.011153	0.013155	0.002690	0.003062	0.003039	0.008973	0.003769	0.008996	0.008504	0.003620	0.000000	0.000346	0.005157	0.001904	0.019272	0.002383	0.010489	0.011891	0.002758
K00042	1.140438	1.161352	1.148668	1.349613	1.367339	1.184956	1.028528	1.080576	1.069773	1.119985	1.079714	1.010873	0.954792	1.122117	1.151585	1.020405	0.968938	1.159822	1.057474	1.018239	1.000035	0.979072	1.384082	1.300393	1.432590	1.063999	1.012496	1.243327	1.352079	0.912935	1.029452	0.971442	1.041428	0.916137
K00043	0.002745	0.003615	0.007073	0.005297	0.001692	0.000982	0.041224	0.010112	0.018805	0.004403	0.013859	0.025957	0.023412	0.001896	0.001602	0.013501	0.031804	0.002697	0.006916	0.012431	0.020690	0.005730	0.005922	0.004056	0.002346	0.000419	0.000000	0.011651	0.000752	0.093576	0.012151	0.024178	0.044593	0.015853
K00045	0.003235	0.002230	0.002368	0.003084	0.001848	0.001437	0.006957	0.005287	0.020831	0.013873	0.014697	0.006142	0.006196	0.001847	0.001542	0.011614	0.008333	0.000898	0.002347	0.002494	0.011266	0.007558	0.008412	0.011144	0.007272	0.001587	0.002424	0.004782	0.001549	0.053151	0.005563	0.020131	0.016961	0.007490
K00046	0.985284	1.014579	0.976389	1.009575	0.981039	0.984902	0.996367	1.063816	1.020968	1.091995	1.038012	1.008973	1.006027	1.008752	1.104130	0.986535	0.970715	0.908007	0.967621	1.034839	0.968686	1.026391	1.081984	1.058755	1.070292	1.028447	1.052923	0.926258	0.989817	0.829616	1.012417	1.276320	1.019525	0.900597
K00052	2.369052	2.871763	2.839469	2.998996	2.277774	2.795167	1.944268	2.471380	2.954871	2.047226	2.338889	2.821383	2.869778	2.938027	2.861833	2.011107	2.242457	2.237406	2.012763	2.231510	2.446788	2.094495	1.941047	1.959200	1.933681	1.908378	1.946059	2.130091	1.908591	2.034470	2.498255	2.308855	2.357293	2.979309
K00053	0.989824	1.121963	1.074449	1.074423	1.084060	1.095510	1.054942	0.990325	1.014369	0.982920	1.035218	1.058869	1.028921	1.097087	1.075129	0.978668	0.983718	1.028338	1.002149	0.970354	1.014434	1.053713	1.169611	1.190255	1.142722	1.058140	1.020321	1.209233	1.124844	0.986091	1.007619	1.021015	1.077703	1.012587
K00054	0.002806	0.000793	0.000359	0.003185	0.000954	0.001229	0.002241	0.003503	0.005622	0.004210	0.005000	0.008338	0.005072	0.000673	0.000642	0.007397	0.007266	0.000598	0.001963	0.004173	0.006530	0.003014	0.003053	0.006291	0.002535	0.000000	0.000000	0.001014	0.000855	0.014232	0.000978	0.008701	0.006137	0.003645
K00055	0.004708	0.003697	0.002662	0.005414	0.001986	0.002454	0.031207	0.008019	0.020896	0.009805	0.012990	0.008475	0.007933	0.000889	0.002993	0.012691	0.005113	0.002921	0.006869	0.007827	0.018339	0.007938	0.010886	0.005039	0.006671	0.000418	0.000000	0.009390	0.005041	0.113771	0.011067	0.018901	0.053610	0.016065
K00057	0.818000	0.897851	0.888798	0.820872	0.831798	0.844123	0.894461	0.897318	0.979671	0.929646	0.910099	0.968035	0.983786	0.951990	0.989190	0.913650	0.874820	0.871174	0.821909	0.867995	0.909812	0.868552	0.763355	0.763653	0.745392	0.894124	0.943455	0.733373	0.711788	0.950860	0.840935	1.008376	0.889472	1.040444
K00058	7.433603	7.677575	7.624293	7.448665	7.727448	7.712054	7.371180	7.557794	8.231044	7.541219	8.068237	7.986774	8.054552	8.504094	8.732275	6.815015	6.981426	7.999537	7.796681	7.803780	7.702637	8.025856	7.497351	7.453921	7.873201	8.100666	8.063467	7.260526	7.225319	7.146512	8.224768	7.724808	7.886323	9.256565
K00059	12.028235	12.311740	12.331532	11.515982	11.480668	11.701818	12.029305	12.871700	12.200119	11.666981	12.391061	13.131659	13.118907	13.203525	13.051851	11.820576	12.244554	12.212697	11.375764	11.826664	12.591043	11.307701	12.954022	13.028094	13.243564	13.080784	13.108709	11.944547	12.353190	10.475579	14.604839	12.900122	12.579426	13.461938
K00060	0.002788	0.002788	0.001488	0.007876	0.060899	0.000762	0.013072	0.008147	0.018750	0.018551	0.011292	0.010451	0.007471	0.002790	0.002593	0.013266	0.008988	0.001388	0.005081	0.002290	0.008826	0.004331	0.970732	0.920680	0.875020	0.181551	0.160591	0.880188	1.090751	0.067363	0.009103	0.047507	0.084134	0.008260
K00064	1.826853	1.975619	1.959916	2.081320	2.155027	2.040237	1.777407	1.252557	0.045430	2.687784	1.595948	1.094420	1.068640	0.998586	1.019863	2.189242	1.542993	0.734027	0.927832	0.703370	0.425189	0.826671	1.075041	1.057811	1.392716	1.730783	1.667457	1.227786	1.003417	0.633534	0.732150	1.079236	1.193670	0.107065
K00065	0.948446	0.896436	0.952912	0.961948	0.947920	0.911021	0.722535	0.820122	0.857365	0.737783	0.758715	0.830685	0.769099	0.814836	0.849377	0.792325	0.747391	0.842771	0.804315	0.797284	0.805937	0.769199	0.893545	0.858989	0.856394	0.834685	0.898511	0.921263	0.886832	0.645532	0.866146	0.763036	0.735698	0.870487
K00066	0.432403	0.001307	0.000704	0.331448	0.065291	0.462759	0.995378	0.548412	0.017110	1.146716	0.879283	2.011675	1.891167	1.982780	1.871142	1.130298	1.358613	0.212757	0.102381	0.003922	0.089924	0.005731	0.020599	0.022370	0.001112	1.920346	1.802017	0.092667	0.001269	0.113762	0.176361	0.705385	0.909383	0.051518
K00067	0.965652	0.976585	1.058558	0.932525	1.170784	0.853634	0.216493	0.045696	0.070124	0.030559	0.049933	0.651653	0.579349	0.545985	0.491295	0.158914	0.518516	0.870227	0.958346	1.051809	0.936816	1.032021	0.459961	0.465713	0.516617	0.007960	0.003729	0.491871	0.393276	0.380824	0.621454	0.449568	1.031208	0.091850
K00073	0.003538	0.008000	0.008540	0.000905	0.000958	0.000000	0.067225	0.041004	0.007237	0.073208	0.058668	0.005495	0.004214	0.114769	0.098898	0.068927	0.051276	0.024547	0.007401	0.030550	0.044696	0.018188	0.000426	0.000794	0.000974	0.000225	0.000000	0.000793	0.000540	0.090032	0.045589	0.027672	0.047401	0.070884
K00074	3.036806	3.033850	3.005066	3.066009	2.853789	3.107728	3.365002	3.181580	2.918086	3.102645	3.049497	3.113635	3.180593	3.152121	3.056012	3.105217	3.012977	3.075158	3.125635	3.121016	3.041323	3.164635	3.139827	3.211910	3.143124	3.015463	3.011216	3.507726	3.168585	2.742503	3.010959	2.972431	3.105936	3.191799
K00075	0.960088	0.902302	0.945016	0.892800	0.882424	0.916716	1.055060	1.030610	1.064203	1.052886	1.040000	0.993825	0.983704	1.009250	0.964563	0.987446	1.057267	1.015164	0.976012	0.986949	0.962747	0.998128	0.940159	0.929005	0.941804	0.926995	0.965281	0.872961	0.942463	0.974963	0.916711	1.076364	1.024320	1.049997
K00076	0.000133	0.001012	0.000881	0.000260	0.000000	0.000760	0.002663	0.000891	0.003547	0.005361	0.001766	0.002794	0.000913	0.000000	0.001136	0.002641	0.001488	0.000736	0.000334	0.002109	0.001561	0.001134	0.003106	0.001181	0.000577	0.018309	0.021283	0.001431	0.000659	0.011088	0.004490	0.005835	0.015592	0.002347
K00077	5.411789	5.278513	5.320684	5.501094	4.920547	5.138529	6.001127	6.461577	5.497820	6.748217	6.343944	5.903934	6.176639	6.104987	6.024547	6.045617	5.656665	5.830765	5.574414	5.782644	5.876637	5.668282	4.918103	4.941329	5.264570	5.470566	5.481445	4.911860	4.830799	4.825254	5.524926	5.729500	5.881557	7.026859
K00087	0.000000	0.000069	0.000000	0.000174	0.000454	0.000000	0.002609	0.004899	0.012525	0.001034	0.005323	0.010399	0.011338	0.008400	0.007683	0.001123	0.001713	0.000000	0.000190	0.001320	0.001541	0.001669	0.000595	0.000334	0.000736	0.000089	0.000000	0.000647	0.000841	0.006993	0.000838	0.011368	0.002190	0.002561
K00088	0.921975	0.936696	0.913893	0.898648	0.840198	0.904609	1.036219	0.993446	0.958231	1.027396	1.007862	0.946518	0.950873	0.963625	0.971571	0.965718	0.961670	0.987908	1.029997	0.997528	1.048904	0.994600	0.829523	0.848008	0.841705	0.981258	0.948932	0.803761	0.771709	0.999550	0.899975	1.000482	1.010833	0.957436
K00090	0.002119	0.000660	0.000583	0.003277	0.002096	0.000799	0.003644	0.002853	0.003767	0.006577	0.003098	0.006260	0.005116	0.001953	0.003720	0.002203	0.004906	0.000000	0.000623	0.002335	0.003890	0.000259	0.002719	0.000961	0.004156	0.000528	0.001976	0.001307	0.002571	0.024834	0.002389	0.055252	0.007029	0.010295
K00091	0.000342	0.000821	0.000000	0.000112	0.001105	0.000756	0.005317	0.000642	0.001302	0.009003	0.001388	0.002610	0.000000	0.000339	0.000000	0.001598	0.003061	0.000000	0.000346	0.000922	0.002178	0.000699	0.001103	0.001819	0.001586	0.000185	0.000000	0.000856	0.002846	0.014141	0.001935	0.021447	0.002117	0.003295
K00096	0.000621	0.001057	0.000438	0.000916	0.000483	0.000000	0.003507	0.001095	0.001783	0.002396	0.000635	0.000668	0.001112	0.000330	0.000678	0.001797	0.003002	0.000000	0.001972	0.000850	0.001903	0.001606	0.001399	0.002170	0.001416	0.000000	0.000000	0.001226	0.001297	0.010354	0.002103	0.013793	0.003034	0.002557
K00097	1.409629	1.809425	1.795970	1.633266	1.861119	1.427320	1.747853	1.818511	1.838387	1.976897	1.836358	1.582663	1.597058	1.563380	1.631422	1.722644	1.623145	1.910924	1.881144	1.917417	1.840393	1.807641	1.812052	1.847523	1.848922	1.760792	1.723748	1.771760	1.822657	1.582028	1.835373	1.656802	1.603692	1.767475
K00098	1.405828	1.896646	1.878833	1.648627	2.038028	1.607779	0.957771	1.007038	1.040072	1.103960	1.026599	0.873430	0.930582	1.058943	1.059365	0.910867	0.878197	1.016357	0.997955	1.024928	0.972923	1.009156	1.679684	1.737645	1.837612	1.001204	1.024285	1.682508	1.639740	0.845931	1.276708	1.279860	0.954288	1.178717
K00099	0.931106	0.887871	0.873473	0.931222	0.930450	0.908267	0.863225	0.848297	0.843651	0.871295	0.812884	0.852278	0.825825	0.856030	0.830746	0.872007	0.812900	0.841199	0.919701	0.853655	0.789705	0.846957	0.921469	0.914921	0.874103	0.886938	0.906781	0.877688	0.951037	0.798067	0.816849	0.798393	0.798946	0.717734
K00101	2.008962	1.115490	1.153495	1.700439	1.005341	1.752030	2.910366	3.507662	2.988751	3.181439	3.161674	3.193279	3.219870	2.996465	2.989881	3.025101	2.968001	2.978122	2.938220	2.935292	2.816394	2.939037	1.058776	0.994084	1.027005	2.756061	2.750456	1.033012	0.998623	3.060952	2.288030	3.175044	2.499905	3.729992
K00102	1.779325	1.883691	1.861306	1.680937	2.058259	1.573808	1.554240	1.516609	0.979514	1.173339	1.122835	1.229391	1.230766	1.067998	1.100702	1.127569	1.098283	0.998772	1.043598	0.986656	1.004627	0.993105	2.006211	1.983187	2.016609	1.090978	1.179552	1.980814	1.998248	1.002065	1.245683	1.242082	1.291860	1.133414
K00104	0.935563	0.908563	0.923453	0.879826	0.872954	0.918260	0.921075	0.976304	0.963857	1.025598	0.965449	0.999521	1.029963	1.000871	1.009586	0.986707	0.920884	0.980218	0.983898	0.944118	0.921275	0.983537	1.068845	1.039905	1.023168	0.997298	0.985234	0.974193	1.010466	0.859269	1.024632	0.975895	0.887969	1.045392
K00108	0.008300	0.006423	0.006596	0.005347	0.008102	0.002523	0.014471	0.012876	0.026014	0.031412	0.021522	0.010456	0.008358	0.003201	0.002957	0.089579	0.134748	0.005404	0.004238	0.011420	0.016375	0.011001	0.014954	0.017442	0.013248	0.001416	0.002592	0.010412	0.007529	0.106267	0.033097	0.098375	0.065094	0.023236
K00111	1.840918	1.856648	1.840716	1.830608	1.878957	1.868490	1.814327	1.952156	1.925366	1.990523	2.013346	1.896368	1.914754	1.927288	2.018297	1.867341	1.836423	2.014513	1.955985	1.919129	1.908864	1.938200	1.894140	1.876717	1.868022	1.909658	1.912224	1.774184	1.810151	1.673472	1.979834	1.896098	1.839411	2.026234
K00112	0.000000	0.000000	0.000000	0.000000	0.000116	0.000000	0.000450	0.000000	0.000000	0.000000	0.000000	0.000158	0.000000	0.000000	0.000000	0.000404	0.000289	0.000000	0.000408	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000114	0.000230	0.001362	0.001151	0.002081	0.000496	0.000437
K00113	0.001328	0.001242	0.001894	0.004427	0.000489	0.000873	0.016216	0.005937	0.008582	0.005033	0.004746	0.013227	0.015822	0.001139	0.004109	0.005944	0.021117	0.000973	0.000608	0.003310	0.008915	0.002457	0.006142	0.006487	0.002075	0.000347	0.000000	0.007081	0.003504	0.033938	0.006120	0.035909	0.016469	0.013795
K00114	2.077484	2.332148	2.218595	2.358614	2.240301	2.427994	2.314894	2.304027	1.408953	4.248675	1.945474	1.689573	1.647585	1.559294	1.543667	4.385371	3.209194	1.512549	1.243253	1.419993	1.767426	1.286056	1.612272	1.557508	1.600158	2.272861	2.174773	1.992911	1.485829	1.601108	3.092076	1.982753	2.051945	1.485684
K00116	0.002234	0.002304	0.003450	0.006739	0.002953	0.002820	0.003159	0.006854	0.017391	0.005521	0.007806	0.008943	0.003882	0.001123	0.001661	0.015443	0.008858	0.001926	0.002939	0.008519	0.010852	0.005157	0.008435	0.011007	0.003673	0.001316	0.000331	0.005005	0.001880	0.034004	0.003517	0.027717	0.014424	0.006976
K00117	1.302982	1.708130	1.666782	1.620835	1.762212	1.437114	0.753832	0.842585	0.816486	0.887253	0.858205	0.824211	0.790348	0.911040	0.910906	0.786407	0.854656	0.846706	0.910781	0.900176	0.884896	0.830740	0.798458	0.790922	0.626752	0.816554	0.823076	1.109307	0.855204	0.737845	0.809296	0.824441	0.771608	0.743064
K00118	0.000311	0.000331	0.000378	0.000369	0.001554	0.000000	0.002630	0.002204	0.001367	0.001163	0.001530	0.001113	0.002390	0.000412	0.000000	0.002270	0.002029	0.000320	0.001398	0.000672	0.000411	0.000561	0.002514	0.000810	0.000833	0.000000	0.000000	0.001272	0.000565	0.001682	0.000000	0.000201	0.002208	0.000519
