Treatment	Sample	Organism	Bin_Prefixed	Bin	Relative_Abundance	classification	domain	completeness	contamination	n50	size
hok	hok_1	Symbiont	hok_binette_bin2	binette_bin2	0.643725	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__	Bacteria	95.01	0.66	122777	8052234
hok	hok_1	Symbiont	hok_binette_bin3	binette_bin3	16.369895	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium diazoefficiens_G	Bacteria	79.16	0.02	17303	5533804
hok	hok_1	Symbiont	hok_binette_bin4	binette_bin4	2.518488	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp029051725	Bacteria	58.43	0.63	6389	4197509
hok	hok_1	Endophyte	hok_binette_bin5	binette_bin5	2.244662	Unclassified Bacteria	Bacteria	56.46	4.88	2178	1841126
hok	hok_2	Symbiont	hok_binette_bin1	binette_bin1	65.994365	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium cosmicum_A	Bacteria	99.9	0.13	112396	8160926
hok	hok_2	Symbiont	hok_binette_bin2	binette_bin2	0.181868	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__	Bacteria	95.01	0.66	122777	8052234
hok	hok_2	Symbiont	hok_binette_bin3	binette_bin3	31.069452	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium diazoefficiens_G	Bacteria	79.16	0.02	17303	5533804
hok	hok_2	Symbiont	hok_binette_bin4	binette_bin4	2.261594	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp029051725	Bacteria	58.43	0.63	6389	4197509
hok	hok_2	Endophyte	hok_binette_bin5	binette_bin5	0.492721	Unclassified Bacteria	Bacteria	56.46	4.88	2178	1841126
hok	hok_3	Symbiont	hok_binette_bin1	binette_bin1	13.433855	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium cosmicum_A	Bacteria	99.9	0.13	112396	8160926
hok	hok_3	Symbiont	hok_binette_bin2	binette_bin2	85.435067	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__	Bacteria	95.01	0.66	122777	8052234
hok	hok_3	Symbiont	hok_binette_bin3	binette_bin3	0.510493	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium diazoefficiens_G	Bacteria	79.16	0.02	17303	5533804
hok	hok_3	Symbiont	hok_binette_bin4	binette_bin4	0.46057	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp029051725	Bacteria	58.43	0.63	6389	4197509
hok	hok_3	Endophyte	hok_binette_bin5	binette_bin5	0.160015	Unclassified Bacteria	Bacteria	56.46	4.88	2178	1841126
hok	hok_5	Symbiont	hok_binette_bin1	binette_bin1	68.843657	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium cosmicum_A	Bacteria	99.9	0.13	112396	8160926
hok	hok_5	Symbiont	hok_binette_bin2	binette_bin2	2.790738	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__	Bacteria	95.01	0.66	122777	8052234
hok	hok_5	Symbiont	hok_binette_bin3	binette_bin3	5.095281	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium diazoefficiens_G	Bacteria	79.16	0.02	17303	5533804
hok	hok_5	Symbiont	hok_binette_bin4	binette_bin4	22.930392	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp029051725	Bacteria	58.43	0.63	6389	4197509
hok	hok_5	Endophyte	hok_binette_bin5	binette_bin5	0.339931	Unclassified Bacteria	Bacteria	56.46	4.88	2178	1841126
hok	hok_7	Symbiont	hok_binette_bin1	binette_bin1	83.641723	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium cosmicum_A	Bacteria	99.9	0.13	112396	8160926
hok	hok_7	Symbiont	hok_binette_bin2	binette_bin2	0.208713	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__	Bacteria	95.01	0.66	122777	8052234
hok	hok_7	Symbiont	hok_binette_bin3	binette_bin3	10.66208	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium diazoefficiens_G	Bacteria	79.16	0.02	17303	5533804
hok	hok_7	Symbiont	hok_binette_bin4	binette_bin4	5.265271	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp029051725	Bacteria	58.43	0.63	6389	4197509
hok	hok_7	Endophyte	hok_binette_bin5	binette_bin5	0.222212	Unclassified Bacteria	Bacteria	56.46	4.88	2178	1841126
carK	carK_1	Endophyte	carK_binette_bin1	binette_bin1	0.293015	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Neorhizobium;s__	Bacteria	99.96	0.89	60782	5344627
carK	carK_1	Symbiont	carK_binette_bin2	binette_bin2	21.539956	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium algeriense	Bacteria	98.45	5.06	29258	9311640
carK	carK_1	Endophyte	carK_binette_bin3	binette_bin3	1.654298	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__;s__	Bacteria	88.82	1.64	11251	3078686
carK	carK_1	Endophyte	carK_binette_bin4	binette_bin4	1.747002	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__;s__	Bacteria	82.12	0.41	12663	2898820
carK	carK_1	Endophyte	carK_binette_bin5	binette_bin5	0.714469	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__	Bacteria	78.34	5.93	2705	3732435
carK	carK_1	Symbiont	carK_binette_bin6	binette_bin6	73.608204	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp036924515	Bacteria	56.53	0.35	3473	3927437
carK	carK_1	Endophyte	carK_binette_bin7	binette_bin7	0.383075	Unclassified	Bacteria	54.22	0.82	2827	1361312
carK	carK_1	Endophyte	carK_binette_bin8	binette_bin8	0.059981	Unclassified Archaea	Archaea	58.75	5.55	1738	8462346
carK	carK_2	Endophyte	carK_binette_bin1	binette_bin1	0.126643	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Neorhizobium;s__	Bacteria	99.96	0.89	60782	5344627
carK	carK_2	Symbiont	carK_binette_bin2	binette_bin2	52.794676	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium algeriense	Bacteria	98.45	5.06	29258	9311640
carK	carK_2	Endophyte	carK_binette_bin3	binette_bin3	0.645382	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__;s__	Bacteria	88.82	1.64	11251	3078686
carK	carK_2	Endophyte	carK_binette_bin4	binette_bin4	0.340624	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__;s__	Bacteria	82.12	0.41	12663	2898820
carK	carK_2	Endophyte	carK_binette_bin5	binette_bin5	0.425891	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__	Bacteria	78.34	5.93	2705	3732435
carK	carK_2	Symbiont	carK_binette_bin6	binette_bin6	44.697718	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp036924515	Bacteria	56.53	0.35	3473	3927437
carK	carK_2	Endophyte	carK_binette_bin7	binette_bin7	0.812401	Unclassified	Bacteria	54.22	0.82	2827	1361312
carK	carK_2	Endophyte	carK_binette_bin8	binette_bin8	0.156666	Unclassified Archaea	Archaea	58.75	5.55	1738	8462346
carK	carK_4	Endophyte	carK_binette_bin1	binette_bin1	0.621867	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Neorhizobium;s__	Bacteria	99.96	0.89	60782	5344627
carK	carK_4	Symbiont	carK_binette_bin2	binette_bin2	94.877509	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium algeriense	Bacteria	98.45	5.06	29258	9311640
carK	carK_4	Endophyte	carK_binette_bin3	binette_bin3	0.479592	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__;s__	Bacteria	88.82	1.64	11251	3078686
carK	carK_4	Endophyte	carK_binette_bin4	binette_bin4	0.665393	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__;s__	Bacteria	82.12	0.41	12663	2898820
carK	carK_4	Endophyte	carK_binette_bin5	binette_bin5	0.465245	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__	Bacteria	78.34	5.93	2705	3732435
carK	carK_4	Symbiont	carK_binette_bin6	binette_bin6	1.927563	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp036924515	Bacteria	56.53	0.35	3473	3927437
carK	carK_4	Endophyte	carK_binette_bin7	binette_bin7	0.802296	Unclassified	Bacteria	54.22	0.82	2827	1361312
carK	carK_4	Endophyte	carK_binette_bin8	binette_bin8	0.160536	Unclassified Archaea	Archaea	58.75	5.55	1738	8462346
carK	carK_9	Endophyte	carK_binette_bin1	binette_bin1	0.476787	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Neorhizobium;s__	Bacteria	99.96	0.89	60782	5344627
carK	carK_9	Symbiont	carK_binette_bin2	binette_bin2	41.934534	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium algeriense	Bacteria	98.45	5.06	29258	9311640
carK	carK_9	Endophyte	carK_binette_bin3	binette_bin3	0.407606	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__;s__	Bacteria	88.82	1.64	11251	3078686
carK	carK_9	Endophyte	carK_binette_bin4	binette_bin4	0.204421	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__;s__	Bacteria	82.12	0.41	12663	2898820
carK	carK_9	Endophyte	carK_binette_bin5	binette_bin5	0.468414	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__	Bacteria	78.34	5.93	2705	3732435
carK	carK_9	Symbiont	carK_binette_bin6	binette_bin6	55.628823	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp036924515	Bacteria	56.53	0.35	3473	3927437
carK	carK_9	Endophyte	carK_binette_bin7	binette_bin7	0.733033	Unclassified	Bacteria	54.22	0.82	2827	1361312
carK	carK_9	Endophyte	carK_binette_bin8	binette_bin8	0.146382	Unclassified Archaea	Archaea	58.75	5.55	1738	8462346
carK	carK_8	Endophyte	carK_binette_bin1	binette_bin1	0.178565	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Neorhizobium;s__	Bacteria	99.96	0.89	60782	5344627
carK	carK_8	Symbiont	carK_binette_bin2	binette_bin2	20.610248	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium algeriense	Bacteria	98.45	5.06	29258	9311640
carK	carK_8	Endophyte	carK_binette_bin3	binette_bin3	0.117265	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__;s__	Bacteria	88.82	1.64	11251	3078686
carK	carK_8	Endophyte	carK_binette_bin4	binette_bin4	0.087356	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__;s__	Bacteria	82.12	0.41	12663	2898820
carK	carK_8	Endophyte	carK_binette_bin5	binette_bin5	0.09378	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__	Bacteria	78.34	5.93	2705	3732435
carK	carK_8	Symbiont	carK_binette_bin6	binette_bin6	78.251431	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp036924515	Bacteria	56.53	0.35	3473	3927437
carK	carK_8	Endophyte	carK_binette_bin7	binette_bin7	0.565291	Unclassified	Bacteria	54.22	0.82	2827	1361312
carK	carK_8	Endophyte	carK_binette_bin8	binette_bin8	0.096064	Unclassified Archaea	Archaea	58.75	5.55	1738	8462346
