Treatment	Sample	Organism	Bin_Prefixed	Bin	Relative_Abundance	classification	domain	completeness	contamination	n50	size
RH	RH_5	Symbiont	RH_binette_bin2	binette_bin2	3.74016	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium algeriense	Bacteria	79.36	8.71	3689	6791596
RH	RH_5	Endophyte	RH_binette_bin3	binette_bin3	0.054778	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__;s__	Bacteria	50.41	8.45	1236	3015805
RH	RH_2	Symbiont	RH_binette_bin1	binette_bin1	95.253493	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp029051725	Bacteria	89.86	3.02	8731	9155893
RH	RH_2	Symbiont	RH_binette_bin2	binette_bin2	4.51347	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium algeriense	Bacteria	79.36	8.71	3689	6791596
RH	RH_2	Endophyte	RH_binette_bin3	binette_bin3	0.233036	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__;s__	Bacteria	50.41	8.45	1236	3015805
RH	RH_3	Symbiont	RH_binette_bin1	binette_bin1	66.24562	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp029051725	Bacteria	89.86	3.02	8731	9155893
RH	RH_3	Symbiont	RH_binette_bin2	binette_bin2	33.502354	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium algeriense	Bacteria	79.36	8.71	3689	6791596
RH	RH_3	Endophyte	RH_binette_bin3	binette_bin3	0.252025	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__;s__	Bacteria	50.41	8.45	1236	3015805
RH	RH_1	Symbiont	RH_binette_bin1	binette_bin1	44.733214	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp029051725	Bacteria	89.86	3.02	8731	9155893
RH	RH_1	Symbiont	RH_binette_bin2	binette_bin2	55.134136	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium algeriense	Bacteria	79.36	8.71	3689	6791596
