KO,Metric,MeanImp,SpearmanRho,Pvalue,Description,Pathways,Modules,BRITE_L1,BRITE_L2,BRITE_L3,in_symbiont,symbiont_label
K09779,richness,2.0290355629205705,-0.2764,0.1466,K09779; uncharacterized protein,NA,NA,Not Included in Pathway or Brite,Poorly characterized,Function unknown,TRUE,Symbiont-encoded
K01046,richness,2.0201050858552163,0.7202,1.06e-5,"lip, TGL2; triacylglycerol lipase [EC:3.1.1.3]",Glycerolipid metabolism; Metabolic pathways; Biosynthesis of secondary metabolites,Acylglycerol degradation,Metabolism,Lipid metabolism,Glycerolipid metabolism,TRUE,Symbiont-encoded
K01669,richness,2.019864372732699,-0.5561,0.001734,"phr, PHR1; deoxyribodipyrimidine photo-lyase [EC:4.1.99.3]",NA,NA,Brite Hierarchies,Protein families: genetic information processing,DNA repair and recombination proteins,TRUE,Symbiont-encoded
K13444,richness,2.018118579945044,-0.8318,2.258e-8,"SUMF1, FGE; formylglycine-generating enzyme [EC:1.8.3.7]",Lysosome,NA,Cellular Processes,Transport and catabolism,Lysosome,TRUE,Symbiont-encoded
K03381,richness,2.007223404494189,-0.2937,0.1221,"catA; catechol 1,2-dioxygenase [EC:1.13.11.1]",Chlorocyclohexane and chlorobenzene degradation; Benzoate degradation; Fluorobenzoate degradation; Toluene degradation; Metabolic pathways; Microbial metabolism in diverse environments; Degradation of aromatic compounds,"Catechol ortho-cleavage, catechol => 3-oxoadipate",Metabolism,Xenobiotics biodegradation and metabolism,Benzoate degradation; Fluorobenzoate degradation; Chlorocyclohexane and chlorobenzene degradation; Toluene degradation,FALSE,Not in symbiont
K05777,richness,2.0071054630949456,0.7314,6.563e-6,ynjB; putative thiamine transport system substrate-binding protein,NA,NA,Brite Hierarchies,Protein families: signaling and cellular processes,Transporters,FALSE,Not in symbiont
K21001,richness,2.00041307205945,-0.4525,0.01372,pslH; polysaccharide biosynthesis protein PslH,Exopolysaccharide biosynthesis; Biofilm formation - Pseudomonas aeruginosa,NA,Metabolism; Cellular Processes; Brite Hierarchies,Glycan biosynthesis and metabolism; Cellular community - prokaryotes; Protein families: metabolism,Exopolysaccharide biosynthesis; Biofilm formation - Pseudomonas aeruginosa; Glycosyltransferases,FALSE,Not in symbiont
K13075,richness,1.986029363654355,-0.5923,7.112e-4,"ahlD, aiiA, attM, blcC; N-acyl homoserine lactone hydrolase [EC:3.1.1.81]",Quorum sensing,NA,Cellular Processes,Cellular community - prokaryotes,Quorum sensing,TRUE,Symbiont-encoded
K21377,richness,1.9792311701402154,0.1815,0.3459,aziB2; 3-hydroxy-5-methyl-1-naphthoate 3-O-methyltransferase [EC:2.1.1.302],NA,NA,Not Included in Pathway or Brite,Unclassified: metabolism,Enzymes with EC numbers,TRUE,Symbiont-encoded
K18029,richness,1.9744087877541447,-0.3983,0.03236,nicA; nicotinate dehydrogenase subunit A [EC:1.17.2.1],Nicotinate and nicotinamide metabolism; Metabolic pathways; Microbial metabolism in diverse environments,"Nicotinate degradation, nicotinate => fumarate",Metabolism,Metabolism of cofactors and vitamins,Nicotinate and nicotinamide metabolism,TRUE,Symbiont-encoded
K22736,richness,1.9698088426605438,-0.2979,0.1165,VIT; vacuolar iron transporter family protein,NA,NA,Brite Hierarchies,Protein families: signaling and cellular processes,Transporters,FALSE,Not in symbiont
K09992,richness,1.9646607887197092,-0.4542,0.01331,K09992; uncharacterized protein,NA,NA,Not Included in Pathway or Brite,Poorly characterized,Function unknown,TRUE,Symbiont-encoded
K23777,richness,1.964338678102977,0.6917,3.241e-5,"cecR; TetR/AcrR family transcriptional regulator, regulator of cefoperazone and chloramphenicol sensitivity",NA,NA,Brite Hierarchies,Protein families: genetic information processing,Transcription factors,TRUE,Symbiont-encoded
K00259,richness,1.9629701969997841,-0.7621,1.557e-6,ald; alanine dehydrogenase [EC:1.4.1.1],"Alanine, aspartate and glutamate metabolism; Taurine and hypotaurine metabolism; Metabolic pathways",NA,Metabolism,Amino acid metabolism; Metabolism of other amino acids,"Alanine, aspartate and glutamate metabolism; Taurine and hypotaurine metabolism",TRUE,Symbiont-encoded
K00639,richness,1.9589414764978923,-0.5301,0.003096,"kbl, GCAT; glycine C-acetyltransferase [EC:2.3.1.29]","Glycine, serine and threonine metabolism; Metabolic pathways",NA,Metabolism; Brite Hierarchies,Amino acid metabolism; Protein families: metabolism,"Glycine, serine and threonine metabolism; Amino acid related enzymes",TRUE,Symbiont-encoded
K24012,richness,1.9546792719633326,-0.6428,1.699e-4,acdAB; acetate---CoA ligase (ADP-forming) [EC:6.2.1.13],Glycolysis / Gluconeogenesis; Pyruvate metabolism; Propanoate metabolism; Metabolic pathways; Microbial metabolism in diverse environments,NA,Metabolism; Brite Hierarchies,Carbohydrate metabolism; Protein families: metabolism,Glycolysis / Gluconeogenesis; Pyruvate metabolism; Propanoate metabolism; Lipid biosynthesis proteins,TRUE,Symbiont-encoded
K08177,richness,1.9476986754905605,-0.8495,5.608e-9,"oxlT; MFS transporter, OFA family, oxalate/formate antiporter",Two-component system,NA,Environmental Information Processing; Brite Hierarchies,Signal transduction; Protein families: signaling and cellular processes,Two-component system; Transporters,TRUE,Symbiont-encoded
K22077,richness,1.9459357819890784,-0.2752,0.1485,GDAP1; ganglioside-induced differentiation-associated protein 1,NA,NA,Brite Hierarchies,Protein families: genetic information processing,Mitochondrial biogenesis,FALSE,Not in symbiont
K03530,richness,1.9454881695130186,-0.8171,6.391e-8,hupB; DNA-binding protein HU-beta,NA,NA,Brite Hierarchies,Protein families: genetic information processing,DNA replication proteins; Chromosome and associated proteins; DNA repair and recombination proteins,TRUE,Symbiont-encoded
K01433,richness,1.9446360197305983,-0.7961,2.422e-7,purU; formyltetrahydrofolate deformylase [EC:3.5.1.10],Glyoxylate and dicarboxylate metabolism; One carbon pool by folate; Metabolic pathways,NA,Metabolism,Carbohydrate metabolism; Metabolism of cofactors and vitamins,Glyoxylate and dicarboxylate metabolism; One carbon pool by folate,TRUE,Symbiont-encoded
K17330,richness,1.9440910218007925,0.3012,0.1124,"dasB; N,N'-diacetylchitobiose transport system permease protein",ABC transporters,NA,Environmental Information Processing; Brite Hierarchies,Membrane transport; Protein families: signaling and cellular processes,ABC transporters; Transporters,FALSE,Not in symbiont
K24126,richness,1.9429205149257092,-0.6737,6.171e-5,ahpC; lipoyl-dependent peroxiredoxin subunit C [EC:1.11.1.28],NA,NA,Not Included in Pathway or Brite,Unclassified: metabolism,Enzymes with EC numbers,TRUE,Symbiont-encoded
K02486,richness,1.9404570176023366,-0.7506,2.731e-6,"K02486; two-component system, sensor kinase [EC:2.7.13.3]",NA,NA,Brite Hierarchies,Protein families: metabolism; Protein families: signaling and cellular processes,Protein kinases; Two-component system,FALSE,Not in symbiont
K07461,richness,1.9275438255598256,-0.6675,7.64e-5,K07461; putative endonuclease,NA,NA,Not Included in Pathway or Brite,Unclassified: genetic information processing,Replication and repair,TRUE,Symbiont-encoded
K07275,richness,1.9225931104575391,-0.3998,0.03165,ompW; outer membrane protein,NA,NA,Not Included in Pathway or Brite,Unclassified: signaling and cellular processes,Structural proteins,TRUE,Symbiont-encoded
K06148,richness,1.910230298356226,0.3409,0.07038,"ABCC-BAC; ATP-binding cassette, subfamily C, bacterial",NA,NA,Brite Hierarchies,Protein families: signaling and cellular processes,Transporters,FALSE,Not in symbiont
K02408,richness,1.909479501180881,-0.842,1.031e-8,fliE; flagellar hook-basal body complex protein FliE,Flagellar assembly,NA,Cellular Processes; Brite Hierarchies,Cell motility; Protein families: signaling and cellular processes,Flagellar assembly; Bacterial motility proteins,TRUE,Symbiont-encoded
K21062,richness,1.908381285391648,-0.6992,2.445e-5,lhpC; 1-pyrroline-4-hydroxy-2-carboxylate deaminase [EC:3.5.4.22],D-Amino acid metabolism; Metabolic pathways,"Hydroxyproline degradation, trans-4-hydroxy-L-proline => 2-oxoglutarate",Metabolism,Metabolism of other amino acids,D-Amino acid metabolism,TRUE,Symbiont-encoded
K07636,richness,1.902829718148973,-0.6702,6.959e-5,"phoR; two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]",Two-component system,NA,Environmental Information Processing; Brite Hierarchies,Signal transduction; Protein families: metabolism; Protein families: signaling and cellular processes,Two-component system; Protein kinases,TRUE,Symbiont-encoded
K01563,richness,1.8925832538714513,-0.2672,0.1612,dhaA; haloalkane dehalogenase [EC:3.8.1.5],Chlorocyclohexane and chlorobenzene degradation; Chloroalkane and chloroalkene degradation; Metabolic pathways; Microbial metabolism in diverse environments,NA,Metabolism,Xenobiotics biodegradation and metabolism,Chloroalkane and chloroalkene degradation; Chlorocyclohexane and chlorobenzene degradation,TRUE,Symbiont-encoded
K01179,richness,1.890792274652593,-0.6842,4.262e-5,E3.2.1.4; endoglucanase [EC:3.2.1.4],Starch and sucrose metabolism; Metabolic pathways; Two-component system,NA,Metabolism; Environmental Information Processing,Carbohydrate metabolism; Signal transduction,Starch and sucrose metabolism; Two-component system,TRUE,Symbiont-encoded
K03315,richness,1.889676971868875,0.8008,1.816e-7,"nhaC; Na+:H+ antiporter, NhaC family",NA,NA,Brite Hierarchies,Protein families: signaling and cellular processes,Transporters,FALSE,Not in symbiont
K22369,richness,1.8865183935085499,-0.3069,0.1054,EPHX4; epoxide hydrolase 4 [EC:3.3.-.-],Chemical carcinogenesis - receptor activation; Chemical carcinogenesis - reactive oxygen species,NA,Human Diseases; Brite Hierarchies,Cancer: overview; Protein families: metabolism,Chemical carcinogenesis - receptor activation; Chemical carcinogenesis - reactive oxygen species; Peptidases and inhibitors,TRUE,Symbiont-encoded
K07502,richness,1.88408496243889,0.4003,0.03142,yprB; uncharacterized protein,NA,NA,Not Included in Pathway or Brite,Poorly characterized,Function unknown,FALSE,Not in symbiont
K10236,richness,1.877327410495786,0.4725,0.009655,"thuE, lpqY; trehalose/maltose transport system substrate-binding protein",ABC transporters,NA,Environmental Information Processing; Brite Hierarchies,Membrane transport; Protein families: signaling and cellular processes,ABC transporters; Transporters,FALSE,Not in symbiont
K05343,richness,1.876967161029175,-0.8201,5.212e-8,treS; maltose alpha-D-glucosyltransferase / alpha-amylase [EC:5.4.99.16 3.2.1.1],Starch and sucrose metabolism; Metabolic pathways; Biosynthesis of secondary metabolites,NA,Metabolism,Carbohydrate metabolism,Starch and sucrose metabolism,TRUE,Symbiont-encoded
K00126,richness,1.87312155086813,-0.6635,8.737e-5,fdsD; formate dehydrogenase subunit delta [EC:1.17.1.9],Glyoxylate and dicarboxylate metabolism; Methane metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Carbon metabolism,NA,Metabolism,Carbohydrate metabolism; Energy metabolism,Glyoxylate and dicarboxylate metabolism; Methane metabolism,TRUE,Symbiont-encoded
K01621,richness,1.870788052846627,-0.7019,2.2e-5,"xfp, xpk; xylulose-5-phosphate/fructose-6-phosphate phosphoketolase [EC:4.1.2.9 4.1.2.22]",Pentose phosphate pathway; Microbial metabolism in diverse environments,NA,Metabolism,Carbohydrate metabolism,Pentose phosphate pathway,TRUE,Symbiont-encoded
K12434,richness,1.870503323784556,0.2942,0.1214,pks7; polyketide synthase 7,NA,NA,Brite Hierarchies,Protein families: metabolism,Lipid biosynthesis proteins,FALSE,Not in symbiont
K09805,richness,1.8598072623777098,-0.4335,0.01881,K09805; uncharacterized protein,NA,NA,Not Included in Pathway or Brite,Poorly characterized,Function unknown,TRUE,Symbiont-encoded
K07489,richness,1.8419715882941539,0.3553,0.05854,K07489; transposase,NA,NA,Not Included in Pathway or Brite,Unclassified: genetic information processing,Replication and repair,FALSE,Not in symbiont
K18982,richness,1.839707207384604,0.3533,0.06007,gli; D-galactarolactone isomerase [EC:5.4.1.4],Ascorbate and aldarate metabolism; Metabolic pathways,NA,Metabolism,Carbohydrate metabolism,Ascorbate and aldarate metabolism,FALSE,Not in symbiont
K05793,richness,1.8282899094883318,-0.7389,4.706e-6,terB; tellurite resistance protein TerB,NA,NA,Not Included in Pathway or Brite,Unclassified: signaling and cellular processes,Others,FALSE,Not in symbiont
K09964,richness,1.8208670572903671,-0.4837,0.007852,K09964; uncharacterized protein,NA,NA,Not Included in Pathway or Brite,Poorly characterized,Function unknown,TRUE,Symbiont-encoded
K21405,richness,1.81295439853573,-0.6083,4.638e-4,"acoR; sigma-54 dependent transcriptional regulator, acetoin dehydrogenase operon transcriptional activator AcoR",NA,NA,Brite Hierarchies,Protein families: genetic information processing,Transcription factors,TRUE,Symbiont-encoded
K03457,richness,1.7323214739155197,-0.1748,0.3644,"TC.NCS1; nucleobase:cation symporter-1, NCS1 family",NA,NA,Not Included in Pathway or Brite,Unclassified: signaling and cellular processes,Transport,TRUE,Symbiont-encoded
K14447,shannon,4.068817212436825,0.7463,3.349e-6,ecm; ethylmalonyl-CoA mutase [EC:5.4.99.63],Glyoxylate and dicarboxylate metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Carbon metabolism,Ethylmalonyl pathway,Metabolism,Carbohydrate metabolism,Glyoxylate and dicarboxylate metabolism,FALSE,Not in symbiont
K03286,shannon,3.510326286515416,-0.7665,1.246e-6,"TC.OOP; OmpA-OmpF porin, OOP family",NA,NA,Brite Hierarchies,Protein families: signaling and cellular processes,Transporters,TRUE,Symbiont-encoded
K01821,shannon,3.4538530474527844,-0.7118,1.491e-5,"praC, xylH; 4-oxalocrotonate tautomerase [EC:5.3.2.6]",Benzoate degradation; Dioxin degradation; Xylene degradation; Metabolic pathways; Microbial metabolism in diverse environments; Degradation of aromatic compounds,"Catechol meta-cleavage, catechol => acetyl-CoA / 4-methylcatechol => propanoyl-CoA",Metabolism,Xenobiotics biodegradation and metabolism,Benzoate degradation; Xylene degradation; Dioxin degradation,TRUE,Symbiont-encoded
K20468,shannon,3.414609368639909,0.4754,0.009157,K20468; putative heme transporter,NA,NA,Brite Hierarchies,Protein families: signaling and cellular processes,Transporters,FALSE,Not in symbiont
K11910,shannon,3.4004607570004404,-0.6611,9.46e-5,vasJ; type VI secretion system protein VasJ,NA,NA,Brite Hierarchies,Protein families: signaling and cellular processes,Secretion system,TRUE,Symbiont-encoded
K07056,shannon,3.3881705405577773,-0.7576,1.946e-6,rsmI; 16S rRNA (cytidine1402-2'-O)-methyltransferase [EC:2.1.1.198],NA,NA,Brite Hierarchies,Protein families: genetic information processing,Ribosome biogenesis,TRUE,Symbiont-encoded
K09017,shannon,3.2558352391687744,-0.7975,2.219e-7,rutR; TetR/AcrR family transcriptional regulator,NA,NA,Brite Hierarchies,Protein families: genetic information processing,Transcription factors,TRUE,Symbiont-encoded
K24108,shannon,3.200186147657259,0.4596,0.01213,asbA; spermidine-citrate ligase [EC:6.3.2.-],Biosynthesis of various siderophores; Metabolic pathways; Biosynthesis of secondary metabolites,"Petrobactin biosynthesis, spermidine => petrobactin",Metabolism,Biosynthesis of other secondary metabolites,Biosynthesis of various siderophores,FALSE,Not in symbiont
K03320,shannon,3.199629832163951,-0.8163,6.745e-8,"amt, AMT, MEP; ammonium transporter, Amt family",NA,NA,Brite Hierarchies,Protein families: signaling and cellular processes,Transporters,TRUE,Symbiont-encoded
K08264,shannon,3.155677819006748,-0.4571,0.01266,hdrD; heterodisulfide reductase subunit D [EC:1.8.98.1],Methane metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Carbon metabolism,"Methanogenesis, methanol => methane; Methanogenesis, acetate => methane; Methanogenesis, methylamine/dimethylamine/trimethylamine => methane; Methanogenesis, CO2 => methane",Metabolism,Energy metabolism,Methane metabolism,FALSE,Not in symbiont
K22373,shannon,3.1210746866888184,0.7212,1.016e-5,larA; lactate racemase [EC:5.1.2.1],Pyruvate metabolism; Metabolic pathways,NA,Metabolism,Carbohydrate metabolism,Pyruvate metabolism,FALSE,Not in symbiont
K00316,shannon,3.078766032345871,0.7015,2.24e-5,spdH; spermidine dehydrogenase [EC:1.5.99.6],Arginine and proline metabolism; beta-Alanine metabolism; Metabolic pathways,NA,Metabolism,Amino acid metabolism; Metabolism of other amino acids,Arginine and proline metabolism; beta-Alanine metabolism,FALSE,Not in symbiont
K16347,shannon,3.0664087458552234,0.5172,0.004061,ecnA; entericidin A,NA,NA,Brite Hierarchies,Protein families: signaling and cellular processes,Transporters,FALSE,Not in symbiont
K14986,shannon,3.00839848403845,-0.7158,1.271e-5,"fixL; two-component system, LuxR family, sensor kinase FixL [EC:2.7.13.3]",Two-component system,NA,Environmental Information Processing; Brite Hierarchies,Signal transduction; Protein families: metabolism; Protein families: signaling and cellular processes,Two-component system; Protein kinases,TRUE,Symbiont-encoded
K06988,shannon,2.9998658654485246,-0.5433,0.002318,fno; 8-hydroxy-5-deazaflavin:NADPH oxidoreductase [EC:1.5.1.40],NA,NA,Not Included in Pathway or Brite,Unclassified: metabolism,Enzymes with EC numbers,TRUE,Symbiont-encoded
K22589,shannon,2.9892523878925856,0.0099,0.9595,thadh; threo-3-hydroxy-L-aspartate ammonia-lyase [EC:4.3.1.16],NA,NA,Not Included in Pathway or Brite,Unclassified: metabolism,Enzymes with EC numbers,FALSE,Not in symbiont
K03769,shannon,2.9756045422391892,-0.77,1.042e-6,ppiC; peptidyl-prolyl cis-trans isomerase C [EC:5.2.1.8],NA,NA,Brite Hierarchies,Protein families: genetic information processing,Chaperones and folding catalysts,TRUE,Symbiont-encoded
K02014,shannon,2.9583988418317104,-0.7507,2.717e-6,TC.FEV.OM; iron complex outermembrane recepter protein,NA,NA,Brite Hierarchies,Protein families: signaling and cellular processes,Transporters,TRUE,Symbiont-encoded
K01868,shannon,2.9241393121409094,-0.736,5.368e-6,"TARS, thrS; threonyl-tRNA synthetase [EC:6.1.1.3]",Aminoacyl-tRNA biosynthesis,NA,Genetic Information Processing; Brite Hierarchies,Translation; Protein families: metabolism; Protein families: genetic information processing,Aminoacyl-tRNA biosynthesis; Amino acid related enzymes; Transfer RNA biogenesis,TRUE,Symbiont-encoded
