sample	coverage	taxonomy
carR_1_DKDN250001551-1A_22W2JCLT3_L1_1	3.98	Root; d__Bacteria
carR_1_DKDN250001551-1A_22W2JCLT3_L1_1	0.55	Root; d__Bacteria; p__Pseudomonadota
carR_1_DKDN250001551-1A_22W2JCLT3_L1_1	2.41	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
carR_1_DKDN250001551-1A_22W2JCLT3_L1_1	0.17	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
carR_1_DKDN250001551-1A_22W2JCLT3_L1_1	0.51	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales
carR_1_DKDN250001551-1A_22W2JCLT3_L1_1	0.06	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales
carR_1_DKDN250001551-1A_22W2JCLT3_L1_1	3.3	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae
carR_1_DKDN250001551-1A_22W2JCLT3_L1_1	0.4	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae
carR_1_DKDN250001551-1A_22W2JCLT3_L1_1	0.51	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae
carR_1_DKDN250001551-1A_22W2JCLT3_L1_1	84.05	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium
carR_1_DKDN250001551-1A_22W2JCLT3_L1_1	28.33	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium; s__Bradyrhizobium sp023073415
carR_1_DKDN250001551-1A_22W2JCLT3_L1_1	30.36	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium; s__Bradyrhizobium sp036924515
carR_1_DKDN250001551-1A_22W2JCLT3_L1_1	171.63	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium; s__Bradyrhizobium algeriense
