sample	coverage	taxonomy
hok_3_DKDN250001572-1A_22W2JCLT3_L1_1	3.25	Root; d__Bacteria
hok_3_DKDN250001572-1A_22W2JCLT3_L1_1	0.23	Root; d__Bacteria; p__Pseudomonadota
hok_3_DKDN250001572-1A_22W2JCLT3_L1_1	1.71	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
hok_3_DKDN250001572-1A_22W2JCLT3_L1_1	0.45	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales
hok_3_DKDN250001572-1A_22W2JCLT3_L1_1	33.89	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae
hok_3_DKDN250001572-1A_22W2JCLT3_L1_1	143.42	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium
hok_3_DKDN250001572-1A_22W2JCLT3_L1_1	340.97	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium; s__Bradyrhizobium algeriense
hok_3_DKDN250001572-1A_22W2JCLT3_L1_1	91.28	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium; s__Bradyrhizobium cosmicum_A
