sample	coverage	taxonomy
carK_8_DKDN250001549-1A_22Y2CMLT3_L2_1	0.36	Root; d__Archaea
carK_8_DKDN250001549-1A_22Y2CMLT3_L2_1	10.98	Root; d__Bacteria
carK_8_DKDN250001549-1A_22Y2CMLT3_L2_1	0.11	Root; d__Bacteria; p__Pseudomonadota
carK_8_DKDN250001549-1A_22Y2CMLT3_L2_1	0.45	Root; d__Bacteria; p__Actinomycetota
carK_8_DKDN250001549-1A_22Y2CMLT3_L2_1	5.06	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
carK_8_DKDN250001549-1A_22Y2CMLT3_L2_1	1.19	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
carK_8_DKDN250001549-1A_22Y2CMLT3_L2_1	0.45	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes
carK_8_DKDN250001549-1A_22Y2CMLT3_L2_1	1.36	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales
carK_8_DKDN250001549-1A_22Y2CMLT3_L2_1	0.11	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales
carK_8_DKDN250001549-1A_22Y2CMLT3_L2_1	0.34	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales
carK_8_DKDN250001549-1A_22Y2CMLT3_L2_1	5.44	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae
carK_8_DKDN250001549-1A_22Y2CMLT3_L2_1	1.71	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae
carK_8_DKDN250001549-1A_22Y2CMLT3_L2_1	0.66	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae
carK_8_DKDN250001549-1A_22Y2CMLT3_L2_1	1.5	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae
carK_8_DKDN250001549-1A_22Y2CMLT3_L2_1	1.02	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae
carK_8_DKDN250001549-1A_22Y2CMLT3_L2_1	28.26	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium
carK_8_DKDN250001549-1A_22Y2CMLT3_L2_1	1.91	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Allorhizobium
carK_8_DKDN250001549-1A_22Y2CMLT3_L2_1	1.32	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Neorhizobium
carK_8_DKDN250001549-1A_22Y2CMLT3_L2_1	0.5	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Agrobacterium
carK_8_DKDN250001549-1A_22Y2CMLT3_L2_1	0.37	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Caulobacter
carK_8_DKDN250001549-1A_22Y2CMLT3_L2_1	0.42	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Phenylobacterium
carK_8_DKDN250001549-1A_22Y2CMLT3_L2_1	0.5	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Novosphingobium
carK_8_DKDN250001549-1A_22Y2CMLT3_L2_1	593.81	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium; s__Bradyrhizobium sp036924515
carK_8_DKDN250001549-1A_22Y2CMLT3_L2_1	1.19	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__Burkholderia multivorans
