sample	coverage	taxonomy
carR_5_DKDN250001552-1A_22KVLLLT4_L6_1	0.57	Root; d__Archaea
carR_5_DKDN250001552-1A_22KVLLLT4_L6_1	14.49	Root; d__Bacteria
carR_5_DKDN250001552-1A_22KVLLLT4_L6_1	2.05	Root; d__Bacteria; p__Pseudomonadota
carR_5_DKDN250001552-1A_22KVLLLT4_L6_1	0.57	Root; d__Bacteria; p__Actinomycetota
carR_5_DKDN250001552-1A_22KVLLLT4_L6_1	0.06	Root; d__Bacteria; p__Bdellovibrionota
carR_5_DKDN250001552-1A_22KVLLLT4_L6_1	7.03	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
carR_5_DKDN250001552-1A_22KVLLLT4_L6_1	1.36	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
carR_5_DKDN250001552-1A_22KVLLLT4_L6_1	0.28	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia
carR_5_DKDN250001552-1A_22KVLLLT4_L6_1	0.34	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
carR_5_DKDN250001552-1A_22KVLLLT4_L6_1	0.4	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiia
carR_5_DKDN250001552-1A_22KVLLLT4_L6_1	3.54	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales
carR_5_DKDN250001552-1A_22KVLLLT4_L6_1	0.06	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales
carR_5_DKDN250001552-1A_22KVLLLT4_L6_1	0.28	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales
carR_5_DKDN250001552-1A_22KVLLLT4_L6_1	1.08	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Micavibrionales
carR_5_DKDN250001552-1A_22KVLLLT4_L6_1	0.45	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales
