sample	coverage	taxonomy
carR_1_DKDN250001551-1A_22VYGNLT3_L3_1	10.92	Root; d__Bacteria
carR_1_DKDN250001551-1A_22VYGNLT3_L3_1	0.34	Root; d__Bacteria; p__Pseudomonadota
carR_1_DKDN250001551-1A_22VYGNLT3_L3_1	3.01	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
carR_1_DKDN250001551-1A_22VYGNLT3_L3_1	0.57	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
carR_1_DKDN250001551-1A_22VYGNLT3_L3_1	0.33	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
carR_1_DKDN250001551-1A_22VYGNLT3_L3_1	0.67	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales
carR_1_DKDN250001551-1A_22VYGNLT3_L3_1	0.11	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales
carR_1_DKDN250001551-1A_22VYGNLT3_L3_1	0.17	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales
carR_1_DKDN250001551-1A_22VYGNLT3_L3_1	11.08	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae
carR_1_DKDN250001551-1A_22VYGNLT3_L3_1	0.63	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae
carR_1_DKDN250001551-1A_22VYGNLT3_L3_1	0.53	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae
carR_1_DKDN250001551-1A_22VYGNLT3_L3_1	0.82	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae
carR_1_DKDN250001551-1A_22VYGNLT3_L3_1	0.23	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae
carR_1_DKDN250001551-1A_22VYGNLT3_L3_1	198.15	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium
carR_1_DKDN250001551-1A_22VYGNLT3_L3_1	0.13	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Allorhizobium
carR_1_DKDN250001551-1A_22VYGNLT3_L3_1	0.61	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Phenylobacterium
carR_1_DKDN250001551-1A_22VYGNLT3_L3_1	0.01	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia
carR_1_DKDN250001551-1A_22VYGNLT3_L3_1	0.4	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Methylophilaceae; g__Methylophilus
carR_1_DKDN250001551-1A_22VYGNLT3_L3_1	57.65	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium; s__Bradyrhizobium sp023073415
carR_1_DKDN250001551-1A_22VYGNLT3_L3_1	60.45	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium; s__Bradyrhizobium sp036924515
carR_1_DKDN250001551-1A_22VYGNLT3_L3_1	360.97	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium; s__Bradyrhizobium algeriense
carR_1_DKDN250001551-1A_22VYGNLT3_L3_1	0.5	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Allorhizobium; s__Allorhizobium sp958439205
carR_1_DKDN250001551-1A_22VYGNLT3_L3_1	0.44	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__Burkholderia multivorans
