sample	coverage	taxonomy
mtz_6_DKDN250001568-1A_22KVLLLT4_L8_1	0.9	Root; d__Archaea
mtz_6_DKDN250001568-1A_22KVLLLT4_L8_1	19.33	Root; d__Bacteria
mtz_6_DKDN250001568-1A_22KVLLLT4_L8_1	0.06	Root; d__Bacteria; p__Pseudomonadota
mtz_6_DKDN250001568-1A_22KVLLLT4_L8_1	1.14	Root; d__Bacteria; p__Actinomycetota
mtz_6_DKDN250001568-1A_22KVLLLT4_L8_1	0.06	Root; d__Bacteria; p__Patescibacteriota
mtz_6_DKDN250001568-1A_22KVLLLT4_L8_1	0.34	Root; d__Bacteria; p__Planctomycetota
mtz_6_DKDN250001568-1A_22KVLLLT4_L8_1	0.45	Root; d__Bacteria; p__Acidobacteriota
mtz_6_DKDN250001568-1A_22KVLLLT4_L8_1	4.33	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
mtz_6_DKDN250001568-1A_22KVLLLT4_L8_1	2.27	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
mtz_6_DKDN250001568-1A_22KVLLLT4_L8_1	1.82	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes
mtz_6_DKDN250001568-1A_22KVLLLT4_L8_1	0.86	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
mtz_6_DKDN250001568-1A_22KVLLLT4_L8_1	0.57	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiia
mtz_6_DKDN250001568-1A_22KVLLLT4_L8_1	6.93	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales
mtz_6_DKDN250001568-1A_22KVLLLT4_L8_1	0.91	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales
mtz_6_DKDN250001568-1A_22KVLLLT4_L8_1	0.28	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Micavibrionales
mtz_6_DKDN250001568-1A_22KVLLLT4_L8_1	1.02	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales
mtz_6_DKDN250001568-1A_22KVLLLT4_L8_1	0.34	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales
mtz_6_DKDN250001568-1A_22KVLLLT4_L8_1	0.06	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales
mtz_6_DKDN250001568-1A_22KVLLLT4_L8_1	0.4	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales
mtz_6_DKDN250001568-1A_22KVLLLT4_L8_1	0.17	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales
mtz_6_DKDN250001568-1A_22KVLLLT4_L8_1	0.86	Root; d__Bacteria; p__Patescibacteriota; c__Minisyncoccia; o__UBA9973
mtz_6_DKDN250001568-1A_22KVLLLT4_L8_1	0.66	Root; d__Bacteria; p__Patescibacteriota; c__Saccharimonadia; o__Saccharimonadales
mtz_6_DKDN250001568-1A_22KVLLLT4_L8_1	19.01	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae
mtz_6_DKDN250001568-1A_22KVLLLT4_L8_1	0.74	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae
mtz_6_DKDN250001568-1A_22KVLLLT4_L8_1	2.41	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae
mtz_6_DKDN250001568-1A_22KVLLLT4_L8_1	8.48	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae
mtz_6_DKDN250001568-1A_22KVLLLT4_L8_1	6.98	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae
mtz_6_DKDN250001568-1A_22KVLLLT4_L8_1	0.91	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae
mtz_6_DKDN250001568-1A_22KVLLLT4_L8_1	0.24	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Micavibrionales; f__Micavibrionaceae
