sample	coverage	taxonomy
ces_7_DKDN250001564-1A_22KVLLLT4_L8_1	11.64	Root; d__Bacteria
ces_7_DKDN250001564-1A_22KVLLLT4_L8_1	0.4	Root; d__Bacteria; p__Pseudomonadota
ces_7_DKDN250001564-1A_22KVLLLT4_L8_1	0.28	Root; d__Bacteria; p__Actinomycetota
ces_7_DKDN250001564-1A_22KVLLLT4_L8_1	4.8	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
ces_7_DKDN250001564-1A_22KVLLLT4_L8_1	0.91	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
ces_7_DKDN250001564-1A_22KVLLLT4_L8_1	0.45	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
ces_7_DKDN250001564-1A_22KVLLLT4_L8_1	0.68	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiia
ces_7_DKDN250001564-1A_22KVLLLT4_L8_1	13.32	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales
ces_7_DKDN250001564-1A_22KVLLLT4_L8_1	0.06	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales
ces_7_DKDN250001564-1A_22KVLLLT4_L8_1	0.45	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales
ces_7_DKDN250001564-1A_22KVLLLT4_L8_1	0.34	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales
ces_7_DKDN250001564-1A_22KVLLLT4_L8_1	0.11	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales
ces_7_DKDN250001564-1A_22KVLLLT4_L8_1	15.54	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae
ces_7_DKDN250001564-1A_22KVLLLT4_L8_1	1.59	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae
