sample	coverage	taxonomy
mtz_4_DKDN250001567-1A_22KVLLLT4_L8_1	0.43	Root; d__Archaea
mtz_4_DKDN250001567-1A_22KVLLLT4_L8_1	16.82	Root; d__Bacteria
mtz_4_DKDN250001567-1A_22KVLLLT4_L8_1	0.32	Root; d__Archaea; p__Thermoproteota
mtz_4_DKDN250001567-1A_22KVLLLT4_L8_1	1.13	Root; d__Bacteria; p__Pseudomonadota
mtz_4_DKDN250001567-1A_22KVLLLT4_L8_1	1.52	Root; d__Bacteria; p__Actinomycetota
mtz_4_DKDN250001567-1A_22KVLLLT4_L8_1	0.8	Root; d__Bacteria; p__Acidobacteriota
mtz_4_DKDN250001567-1A_22KVLLLT4_L8_1	0.4	Root; d__Bacteria; p__Myxococcota
mtz_4_DKDN250001567-1A_22KVLLLT4_L8_1	1.42	Root; d__Bacteria; p__Chloroflexota
mtz_4_DKDN250001567-1A_22KVLLLT4_L8_1	0.57	Root; d__Bacteria; p__Bacillota
mtz_4_DKDN250001567-1A_22KVLLLT4_L8_1	0.91	Root; d__Bacteria; p__Planctomycetota
mtz_4_DKDN250001567-1A_22KVLLLT4_L8_1	0.63	Root; d__Bacteria; p__Patescibacteriota
mtz_4_DKDN250001567-1A_22KVLLLT4_L8_1	2.96	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
mtz_4_DKDN250001567-1A_22KVLLLT4_L8_1	3.24	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
mtz_4_DKDN250001567-1A_22KVLLLT4_L8_1	0.45	Root; d__Bacteria; p__Actinomycetota; c__Acidimicrobiia
mtz_4_DKDN250001567-1A_22KVLLLT4_L8_1	0.97	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia
mtz_4_DKDN250001567-1A_22KVLLLT4_L8_1	1.37	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes
mtz_4_DKDN250001567-1A_22KVLLLT4_L8_1	0.45	Root; d__Bacteria; p__Chloroflexota; c__Limnocylindria
mtz_4_DKDN250001567-1A_22KVLLLT4_L8_1	0.68	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
mtz_4_DKDN250001567-1A_22KVLLLT4_L8_1	0.11	Root; d__Bacteria; p__Planctomycetota; c__Phycisphaerae
mtz_4_DKDN250001567-1A_22KVLLLT4_L8_1	0.68	Root; d__Bacteria; p__Patescibacteriota; c__Minisyncoccia
mtz_4_DKDN250001567-1A_22KVLLLT4_L8_1	0.34	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiia
