sample	coverage	taxonomy
hok_2_DKDN250001571-1A_22KVLLLT4_L8_1	2.5	Root; d__Bacteria
hok_2_DKDN250001571-1A_22KVLLLT4_L8_1	0.11	Root; d__Bacteria; p__Pseudomonadota
hok_2_DKDN250001571-1A_22KVLLLT4_L8_1	0.4	Root; d__Bacteria; p__Actinomycetota
hok_2_DKDN250001571-1A_22KVLLLT4_L8_1	1.53	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
hok_2_DKDN250001571-1A_22KVLLLT4_L8_1	0.8	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
hok_2_DKDN250001571-1A_22KVLLLT4_L8_1	0.4	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
hok_2_DKDN250001571-1A_22KVLLLT4_L8_1	0.89	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales
hok_2_DKDN250001571-1A_22KVLLLT4_L8_1	0.06	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales
hok_2_DKDN250001571-1A_22KVLLLT4_L8_1	1.22	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae
hok_2_DKDN250001571-1A_22KVLLLT4_L8_1	1.49	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae
hok_2_DKDN250001571-1A_22KVLLLT4_L8_1	1.07	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae
hok_2_DKDN250001571-1A_22KVLLLT4_L8_1	0.46	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae
hok_2_DKDN250001571-1A_22KVLLLT4_L8_1	0.4	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae
hok_2_DKDN250001571-1A_22KVLLLT4_L8_1	1.01	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Rhizobium
hok_2_DKDN250001571-1A_22KVLLLT4_L8_1	0.8	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Neorhizobium
hok_2_DKDN250001571-1A_22KVLLLT4_L8_1	0.57	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__DSM-16000; f__Inquilinaceae; g__Inquilinus
hok_2_DKDN250001571-1A_22KVLLLT4_L8_1	0.67	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Novosphingobium
hok_2_DKDN250001571-1A_22KVLLLT4_L8_1	0.14	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia
hok_2_DKDN250001571-1A_22KVLLLT4_L8_1	0.51	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Methylophilaceae; g__Methylophilus
hok_2_DKDN250001571-1A_22KVLLLT4_L8_1	325.97	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium; s__Bradyrhizobium diazoefficiens_G
hok_2_DKDN250001571-1A_22KVLLLT4_L8_1	552.02	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium; s__Bradyrhizobium cosmicum_A
hok_2_DKDN250001571-1A_22KVLLLT4_L8_1	0.48	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__Burkholderia multivorans
