sample	coverage	taxonomy
carK_1_DKDN250001546-1A_22KVLLLT4_L6_1	0.95	Root; d__Archaea
carK_1_DKDN250001546-1A_22KVLLLT4_L6_1	13.55	Root; d__Bacteria
carK_1_DKDN250001546-1A_22KVLLLT4_L6_1	0.11	Root; d__Archaea; p__Thermoproteota
carK_1_DKDN250001546-1A_22KVLLLT4_L6_1	0.52	Root; d__Bacteria; p__Pseudomonadota
carK_1_DKDN250001546-1A_22KVLLLT4_L6_1	0.17	Root; d__Bacteria; p__Planctomycetota
carK_1_DKDN250001546-1A_22KVLLLT4_L6_1	0.8	Root; d__Bacteria; p__Actinomycetota
carK_1_DKDN250001546-1A_22KVLLLT4_L6_1	0.74	Root; d__Bacteria; p__Acidobacteriota
carK_1_DKDN250001546-1A_22KVLLLT4_L6_1	0.57	Root; d__Bacteria; p__Chloroflexota
carK_1_DKDN250001546-1A_22KVLLLT4_L6_1	0.34	Root; d__Bacteria; p__Patescibacteriota
carK_1_DKDN250001546-1A_22KVLLLT4_L6_1	0.21	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria
carK_1_DKDN250001546-1A_22KVLLLT4_L6_1	4.19	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
carK_1_DKDN250001546-1A_22KVLLLT4_L6_1	1.36	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
carK_1_DKDN250001546-1A_22KVLLLT4_L6_1	0.54	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
carK_1_DKDN250001546-1A_22KVLLLT4_L6_1	0.73	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetia
carK_1_DKDN250001546-1A_22KVLLLT4_L6_1	0.34	Root; d__Bacteria; p__Planctomycetota; c__Phycisphaerae
carK_1_DKDN250001546-1A_22KVLLLT4_L6_1	0.97	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes
carK_1_DKDN250001546-1A_22KVLLLT4_L6_1	0.28	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia
