sample	coverage	taxonomy
hok_7_DKDN250001574-1A_22KVLLLT4_L8_1	0.43	Root; d__Archaea
hok_7_DKDN250001574-1A_22KVLLLT4_L8_1	2.56	Root; d__Bacteria
hok_7_DKDN250001574-1A_22KVLLLT4_L8_1	0.74	Root; d__Bacteria; p__Actinomycetota
hok_7_DKDN250001574-1A_22KVLLLT4_L8_1	5.52	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
hok_7_DKDN250001574-1A_22KVLLLT4_L8_1	0.51	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
hok_7_DKDN250001574-1A_22KVLLLT4_L8_1	1.02	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes
hok_7_DKDN250001574-1A_22KVLLLT4_L8_1	0.28	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
hok_7_DKDN250001574-1A_22KVLLLT4_L8_1	2.39	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales
hok_7_DKDN250001574-1A_22KVLLLT4_L8_1	0.11	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales
hok_7_DKDN250001574-1A_22KVLLLT4_L8_1	4.73	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae
hok_7_DKDN250001574-1A_22KVLLLT4_L8_1	0.94	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae
hok_7_DKDN250001574-1A_22KVLLLT4_L8_1	0.4	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae
hok_7_DKDN250001574-1A_22KVLLLT4_L8_1	0.95	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae
hok_7_DKDN250001574-1A_22KVLLLT4_L8_1	0.97	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae
hok_7_DKDN250001574-1A_22KVLLLT4_L8_1	0.37	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Rhizobium
hok_7_DKDN250001574-1A_22KVLLLT4_L8_1	115.51	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium; s__Bradyrhizobium diazoefficiens_G
hok_7_DKDN250001574-1A_22KVLLLT4_L8_1	972.28	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium; s__Bradyrhizobium cosmicum_A
hok_7_DKDN250001574-1A_22KVLLLT4_L8_1	0.91	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__Burkholderia multivorans
