sample	coverage	taxonomy
hok_3_DKDN250001572-1A_22VYGNLT3_L3_1	6.93	Root; d__Bacteria
hok_3_DKDN250001572-1A_22VYGNLT3_L3_1	0.91	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
hok_3_DKDN250001572-1A_22VYGNLT3_L3_1	0.28	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
hok_3_DKDN250001572-1A_22VYGNLT3_L3_1	0.45	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales
hok_3_DKDN250001572-1A_22VYGNLT3_L3_1	41.19	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae
hok_3_DKDN250001572-1A_22VYGNLT3_L3_1	0.34	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae
hok_3_DKDN250001572-1A_22VYGNLT3_L3_1	150.06	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium
hok_3_DKDN250001572-1A_22VYGNLT3_L3_1	96.9	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium; s__Bradyrhizobium cosmicum_A
hok_3_DKDN250001572-1A_22VYGNLT3_L3_1	374.61	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium; s__Bradyrhizobium algeriense
