sample	coverage	taxonomy
RH_8_DKDN250001559-1A_22KVLLLT4_L6_1	4.38	Root; d__Bacteria
RH_8_DKDN250001559-1A_22KVLLLT4_L6_1	0.05	Root; d__Bacteria; p__Pseudomonadota
RH_8_DKDN250001559-1A_22KVLLLT4_L6_1	0.34	Root; d__Bacteria; p__Patescibacteriota
RH_8_DKDN250001559-1A_22KVLLLT4_L6_1	1.97	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
RH_8_DKDN250001559-1A_22KVLLLT4_L6_1	0.17	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
RH_8_DKDN250001559-1A_22KVLLLT4_L6_1	0.57	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
RH_8_DKDN250001559-1A_22KVLLLT4_L6_1	8.35	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales
RH_8_DKDN250001559-1A_22KVLLLT4_L6_1	0.36	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales
RH_8_DKDN250001559-1A_22KVLLLT4_L6_1	0.23	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales
RH_8_DKDN250001559-1A_22KVLLLT4_L6_1	29.81	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae
RH_8_DKDN250001559-1A_22KVLLLT4_L6_1	0.51	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae
RH_8_DKDN250001559-1A_22KVLLLT4_L6_1	0.57	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae
RH_8_DKDN250001559-1A_22KVLLLT4_L6_1	0.06	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Methylophilaceae
RH_8_DKDN250001559-1A_22KVLLLT4_L6_1	134.01	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium
RH_8_DKDN250001559-1A_22KVLLLT4_L6_1	0.4	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Methylophilaceae; g__Methylophilus
RH_8_DKDN250001559-1A_22KVLLLT4_L6_1	361.86	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium; s__Bradyrhizobium sp029051725
RH_8_DKDN250001559-1A_22KVLLLT4_L6_1	58.06	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium; s__Bradyrhizobium cosmicum_A
RH_8_DKDN250001559-1A_22KVLLLT4_L6_1	201.28	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium; s__Bradyrhizobium algeriense
